"","cell_id","new_clusters"
"275","cell_9714","4"
"276","cell_9716","7"
"277","cell_9718","1"
"278","cell_9719","4"
"279","cell_9720","1"
"280","cell_9724","6"
"281","cell_9727","1"
"282","cell_9730","6"
"283","cell_9731","3"
"284","cell_9737","3"
"285","cell_9742","4"
"286","cell_9743","4"
"287","cell_9744","3"
"288","cell_9746","7"
"289","cell_9752","7"
"290","cell_9753","6"
"291","cell_9757","4"
"292","cell_9761","1"
"293","cell_9762","1"
"294","cell_9764","7"
"295","cell_9765","7"
"296","cell_9766","1"
"297","cell_9768","4"
"298","cell_9769","7"
"299","cell_9772","1"
"300","cell_9777","1"
"301","cell_9780","7"
"302","cell_9781","7"
"303","cell_9782","4"
"304","cell_9783","7"
"305","cell_9784","1"
"306","cell_9785","7"
"307","cell_9787","6"
"308","cell_9788","3"
"309","cell_9792","6"
"310","cell_9794","4"
"311","cell_9796","4"
"312","cell_9797","1"
"313","cell_9798","1"
"314","cell_9799","7"
"315","cell_9800","4"
"316","cell_9804","1"
"317","cell_9811","6"
"318","cell_9812","4"
"319","cell_9816","3"
"320","cell_9817","6"
"321","cell_9828","7"
"322","cell_9829","3"
"323","cell_9830","1"
"324","cell_9835","1"
"325","cell_9841","4"
"326","cell_9842","7"
"327","cell_9843","4"
"328","cell_9848","7"
"329","cell_9851","7"
"330","cell_9852","6"
"331","cell_9854","3"
"332","cell_9859","3"
"333","cell_9860","7"
"334","cell_9865","7"
"335","cell_9866","6"
"336","cell_9872","6"
"337","cell_9880","4"
"338","cell_9881","3"
"339","cell_9882","1"
"340","cell_9895","1"
"341","cell_9907","3"
"342","cell_9908","1"
"343","cell_9911","4"
"344","cell_9913","3"
"345","cell_9919","6"
"346","cell_9921","7"
"347","cell_9922","7"
"348","cell_9924","6"
"349","cell_9926","4"
"350","cell_9927","1"
"351","cell_9935","7"
"352","cell_9938","3"
"353","cell_9940","7"
"354","cell_9946","7"
"355","cell_9950","7"
"356","cell_9951","1"
"357","cell_9953","1"
"358","cell_9954","7"
"359","cell_9955","1"
"360","cell_9959","7"
"361","cell_9961","4"
"362","cell_9963","1"
"363","cell_9966","4"
"364","cell_9973","1"
"365","cell_9985","7"
"366","cell_9992","7"
"367","cell_9993","7"
"368","cell_9996","1"
"369","cell_10002","3"
"370","cell_10007","3"
"371","cell_10017","7"
"372","cell_10025","4"
"373","cell_10029","7"
"374","cell_10030","1"
"375","cell_10044","7"
"376","cell_10047","6"
"377","cell_10048","3"
"378","cell_10052","1"
"379","cell_10057","6"
"380","cell_10058","1"
"381","cell_10060","7"
"382","cell_10061","7"
"383","cell_10062","4"
"384","cell_10067","7"
"385","cell_10069","7"
"386","cell_10073","3"
"387","cell_10075","7"
"388","cell_10081","3"
"389","cell_10082","3"
"390","cell_10083","5"
"391","cell_10084","2"
"392","cell_10096","3"
"393","cell_10099","7"
